,TransactionID,age,age_group_order_rev,price,price_int
2,2058424,27,13,0.042355932,42
5,584332,31,9,0.050830508,50
6,761529,35,5,0.02540678,25
11,1573790,25,15,0.028355932,28
17,843690,25,15,0.040661017,40
19,1524169,25,15,0.02959322,29
23,1728108,29,11,0.042355932,42
25,1339602,26,14,0.03659322,36
29,206162,25,15,0.026135593,26
36,1109058,32,8,0.023711864,23
40,172922,40,0,0.033881356,33
48,1962701,32,8,0.02540678,25
56,1287875,25,15,0.033881356,33
57,288087,35,5,0.006762712,6
72,1576964,32,8,0.001677966,1
73,217684,29,11,0.050830508,50
74,457619,25,15,0.033881356,33
79,1849005,40,0,0.016932203,16
81,2335736,25,15,0.050830508,50
82,1740236,31,9,0.059305085,59
85,1466798,34,6,0.05040678,50
95,469597,37,3,0.02540678,25
96,965959,32,8,0.016932203,16
97,572219,30,10,0.050830508,50
